"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7"
"4481131","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Faecalibacterium",NA
"369241","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","g__",NA
"133176","k__Bacteria","p__Acidobacteria","c__Holophagae","o__Holophagales","f__Holophagaceae","g__",NA
"4412750","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__OM60","g__Congregibacter",NA
"4452118","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Leptothrix",NA
"4350466","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__[Weeksellaceae]","g__",NA
"4464735","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Neisseriales","f__Neisseriaceae","g__Vogesella",NA
"209606","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__BF311",NA
"3275744","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Herbaspirillum",NA
"174924","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcus",NA
"300496","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__BS11","g__",NA
"4430581","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__[Paraprevotellaceae]","g__[Prevotella]",NA
"1100972","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Lactococcus",NA
