Sample_name,Sample,Type,Location,Depth,Sort1,Sort2,Stage,Stage1,Study day,Moisture,pH,EC,DO,CO2,NH4,NO3,TN,TC,CN_ratio,copies/gdw,log copies/gdw,fungal:bacterial ratio,log f:b ratio,Chao1,Shannon,InvSimpson
J126,con15_mean,con15,control,core,J,con,Advanced5_transition,Control,140,0.425089178,7.396666667,46.71333333,100.7,2.042382626,9.265446633,10.20819802,0.534,7.600666667,14.35843333,2.32678E+08,8.366755868,1.68712E-02,-1.772854774,1178.443478,5.369151521,91.96864726
K1589_INT1,gr_int_win1,grint,grave,interface,K,K,Skeletonization1,H_Skeletonization,158,0.802687412,7.08,367.2,79.6,64.79986313,638.1513437,0.990276285,1.126,15.533,13.7889,2.62076E+09,9.418427987,3.16010E-02,-1.500298697,247.6521739,2.393630887,6.63387256
K1589_CORE1,gr_15_win1,gr15,grave,core,K,K,Skeletonization1,H_Skeletonization,158,0.452497551,6.01,243,79.6,37.42426379,376.9521645,64.68455762,0.525,7.494,14.2647,2.60089E+09,9.41512157,9.61887E-02,-1.016876147,511.125,2.532089741,6.314042687
K1589_INT2,gr_int_win2,grint,grave,interface,K,K,Skeletonization1,H_Skeletonization,158,0.960299625,6.32,423.5,96,73.17678139,558.5547066,162.8355556,1.862,21.121,11.3451,4.90356E+09,9.690511833,3.29407E-02,-1.482267808,421.0277778,2.985845061,9.434533293
K1589_CORE2,gr_15_win2,gr15,grave,core,K,K,Skeletonization1,H_Skeletonization,158,0.48136646,6.49,90.68,96,4.337007419,30.89142857,39.68086957,0.971,13.937,14.3571,4.53642E+08,8.656713359,4.73540E-02,-1.32464349,635.3802817,4.208791027,20.30469312
K1589_INT3,gr_int_win3,grint,grave,interface,K,K,Skeletonization1,H_Skeletonization,158,0.726982097,7.24,318.5,100.5,65.35128077,624.4767263,263.698653,1.542,17.401,11.2834,2.51449E+09,9.400449541,1.33631E-01,-0.874092484,453.6363636,3.550696961,18.77354117
K1589_CORE3,gr_15_win3,gr15,grave,core,K,K,Skeletonization1,H_Skeletonization,158,0.411140584,6.5,302.1,100.5,12.6053554,148.6025111,77.59391689,0.936,10.736,11.4741,1.81941E+09,9.259930938,1.04283E-01,-0.981786689,676.0120482,3.089857338,6.655284157
K1589_CONINT,conint_mean,conint,control,interface,K,con,Skeletonization1,Control,158,0.570368515,7.583333333,48.98666667,100.5,3.715695066,11.7213048,12.16990983,0.892666667,14.237,15.93203333,1.76810E+08,8.247506888,2.44683E-02,-1.611395558,956.6230769,5.360069602,86.14904966
K1589,con15_mean,con15,control,core,K,con,Skeletonization1,Control,158,0.366517382,7.403333333,40.47,100.5,1.790477297,7.545172861,8.512180515,0.576666667,7.911666667,13.8389,7.53563E+07,7.877119495,2.56885E-02,-1.590260442,842.6666667,4.923086492,43.94957188
M172_INT1,gr_int_win1,grint,grave,interface,M,M,Skeletonization2,H_Skeletonization,172,1.18061674,6.84,166.7,93.1,80.69233091,270.9779736,28.43524229,1.527,21.112,13.8232,1.89582E+10,10.27779659,2.76054E-01,-0.559005568,476.7941176,3.124126629,9.936242037
M172_CORE1,gr_15_win1,gr15,grave,core,M,M,Skeletonization2,H_Skeletonization,172,0.948430493,6.54,227.1,93.1,43.69829193,327.5961136,27.12215247,2.341,21.835,9.3279,5.45356E+09,9.736680477,4.30751E-01,-0.365773994,518.7258065,2.725415222,7.369333507
M172_INT2,gr_int_win2,grint,grave,interface,M,M,Skeletonization2,H_Skeletonization,172,0.347435219,6.13,188.3,99.2,13.29036906,146.7806099,71.41406663,0.959,12.753,13.2989,5.23423E+09,9.718853004,1.86581E-01,-0.729132382,696.125,3.635202094,16.54319914
M172_CORE2,gr_15_win2,gr15,grave,core,M,M,Skeletonization2,H_Skeletonization,172,0.425329815,6.24,194.5,99.2,3.927106825,26.87221812,16.26016253,0.304,3.842,12.6529,2.74669E+09,9.438809778,9.23074E-02,-1.034763453,1049.084034,4.218746322,26.77238066
M172_INT3,gr_int_win3,grint,grave,interface,M,M,Skeletonization2,H_Skeletonization,172,0.531042129,6.5,357.9,99.8,45.96802963,697.5427938,313.4553585,1.054,12.302,11.6726,2.79323E+09,9.446106562,1.20059E-01,-0.920603978,624.5245902,3.529274303,14.3924845
M172_CORE3,gr_15_win3,gr15,grave,core,M,M,Skeletonization2,H_Skeletonization,172,0.427518428,6.43,286.5,99.8,7.440196768,110.5850942,157.6361016,0.886,9.999,11.2805,1.85376E+09,9.268054191,6.47302E-02,-1.188892786,1344.210526,4.183336111,17.01373206
M172_CONINT,conint_mean,conint,control,interface,M,con,Skeletonization2,Control,172,0.344541405,7.403333333,31.54666667,100.3333333,1.373981397,6.767087578,13.93809631,0.839333333,12.82666667,15.19933333,6.11272E+08,8.786234543,7.57281E-02,-1.12074266,1285.221311,5.35536082,70.06394546
M172,con15_mean,con15,control,core,M,con,Skeletonization2,Control,172,0.341043707,7.196666667,31.25,100.3333333,1.396957926,7.333551586,7.828074137,0.517666667,6.93,13.54866667,3.17045E+08,8.501120872,7.06039E-02,-1.151171156,934.9787234,4.881820221,41.51227077
N186_INT1,gr_int_win1,grint,grave,interface,N,N,Skeletonization3,H_Skeletonization,186,0.405167352,6.31,139.6,93.8,12.39774077,129.2753964,97.49987865,1.265,16.198,12.8045,1.67306E+09,9.223511092,3.61193E-02,-1.442260793,697.7857143,2.848465531,5.52589466
N186_CORE1,gr_15_win1,gr15,grave,core,N,N,Skeletonization3,H_Skeletonization,186,0.24442025,6.78,146.8,93.8,9.265667169,47.91847578,25.36626238,0.46,6.241,13.5594,1.80749E+10,10.25707698,7.86681E-01,-0.104201089,510.4883721,2.909774387,9.790431546
